professor_name,apiVersion,script,name,likelyGender,genderScale,score,probabilityCalibrated
Ahran  Park,namsor_api_2.1.4,LATIN,Ahran  Park,male,-0.3143499359726618,2.557791371859807,0.6571749679863309
Akhtar  Kahn,namsor_api_2.1.4,LATIN,Akhtar  Kahn,male,-0.5050886795279577,7.116918332680584,0.7525443397639788
Alan  Tomhave,namsor_api_2.1.4,LATIN,Alan  Tomhave,male,-0.4370132721562652,6.247411548823834,0.7185066360781326
Alan  Walker-Gleaves,namsor_api_2.1.4,LATIN,Alan  Walker-Gleaves,male,-0.611977368949336,7.832257283646058,0.805988684474668
Alice  Boateng,namsor_api_2.1.4,LATIN,Alice  Boateng,female,0.4364204437316348,6.238480739264801,0.7182102218658174
Allison  Carr,namsor_api_2.1.4,LATIN,Allison  Carr,female,0.38102646807070895,3.995036829421963,0.6905132340353545
Anatoly  Moscovine,namsor_api_2.1.4,LATIN,Anatoly  Moscovine,male,-0.40818057210355163,5.55857918372817,0.7040902860517758
Andrea  Mata,namsor_api_2.1.4,LATIN,Andrea  Mata,female,0.4243979419163064,5.991382853505186,0.7121989709581532
Andrew  Kalafut,namsor_api_2.1.4,LATIN,Andrew  Kalafut,male,-0.8957222160949623,11.114233918022748,0.9478611080474811
Andrew  Smith,namsor_api_2.1.4,LATIN,Andrew  Smith,male,-0.8852008795729644,10.909595464121963,0.9426004397864822
Ann  Stanton,namsor_api_2.1.4,LATIN,Ann  Stanton,female,0.38604097208106514,4.648647026361758,0.6930204860405326
Arnaud  Claude,namsor_api_2.1.4,LATIN,Arnaud  Claude,male,-0.8053720333588339,9.398700976257558,0.902686016679417
Audrey  Wagstaff,namsor_api_2.1.4,LATIN,Audrey  Wagstaff,female,0.35812860682896264,3.372995852683033,0.6790643034144813
Barbara  Chutroo,namsor_api_2.1.4,LATIN,Barbara  Chutroo,female,0.40039955240763936,5.299642476265632,0.7001997762038197
Barbara  Deloatch,namsor_api_2.1.4,LATIN,Barbara  Deloatch,female,0.40355290111742126,5.3967195507541135,0.7017764505587106
Beth Ann  Walker,namsor_api_2.1.4,LATIN,Beth Ann  Walker,female,0.5991967174497621,7.7657367202275935,0.799598358724881
Brad  Snodgrass,namsor_api_2.1.4,LATIN,Brad  Snodgrass,male,-0.8306128053642263,10.236568866981557,0.9153064026821132
Brian  Snyder,namsor_api_2.1.4,LATIN,Brian  Snyder,male,-0.8088291858429659,9.521175881281351,0.904414592921483
Brittany  Tagliati,namsor_api_2.1.4,LATIN,Brittany  Tagliati,female,0.4013793591218844,5.328818990792172,0.7006896795609422
Bryeanne  Summers,namsor_api_2.1.4,LATIN,Bryeanne  Summers,female,0.3099946985431161,2.465492383050062,0.6549973492715581
Camelia  Kantor,namsor_api_2.1.4,LATIN,Camelia  Kantor,female,0.4558108239833505,6.581888268826646,0.7279054119916752
Carlos  Pena,namsor_api_2.1.4,LATIN,Carlos  Pena,male,-0.6253227533620531,7.906784963331226,0.8126613766810266
Carmela  Balassiano,namsor_api_2.1.4,LATIN,Carmela  Balassiano,female,0.6030308259956947,7.785232359569491,0.8015154129978473
Carmela  Weil,namsor_api_2.1.4,LATIN,Carmela  Weil,female,0.5282133306691039,7.277251782683891,0.764106665334552
Carmen  Leeds,namsor_api_2.1.4,LATIN,Carmen  Leeds,female,0.21512425287661574,1.886070692583374,0.6075621264383079
Caroline  Wright,namsor_api_2.1.4,LATIN,Caroline  Wright,female,0.4937656490976128,6.984468270712867,0.7468828245488064
Carrie  Steckler,namsor_api_2.1.4,LATIN,Carrie  Steckler,female,0.40566795230526487,5.467491279577956,0.7028339761526324
Cassandra  Shaw,namsor_api_2.1.4,LATIN,Cassandra  Shaw,female,0.4257142223920012,6.03243934521096,0.7128571111960006
Catherine  Stewart,namsor_api_2.1.4,LATIN,Catherine  Stewart,female,0.47350893750235534,6.7634801496457015,0.7367544687511777
Cathy  Adams,namsor_api_2.1.4,LATIN,Cathy  Adams,female,0.4018373323478108,5.3427510345397025,0.7009186661739054
Cathy  Johnson,namsor_api_2.1.4,LATIN,Cathy  Johnson,female,0.3891165196620576,4.894581847890507,0.6945582598310288
Cesar  Sanchez,namsor_api_2.1.4,LATIN,Cesar  Sanchez,male,-0.7043325372318057,8.375694061447028,0.8521662686159028
Charles  Dumas,namsor_api_2.1.4,LATIN,Charles  Dumas,male,-0.8344592682614633,10.27169483909357,0.9172296341307317
Cheryl  Bradt-Hyland,namsor_api_2.1.4,LATIN,Cheryl  Bradt-Hyland,female,0.38884391816115715,4.870214821916839,0.6944219590805786
Cheryl  Williams,namsor_api_2.1.4,LATIN,Cheryl  Williams,female,0.38165880145884734,4.208451862635869,0.6908294007294237
Chris  Avinger,namsor_api_2.1.4,LATIN,Chris  Avinger,male,-0.42237700423738334,5.931440919795065,0.7111885021186917
Chris  Dalglish,namsor_api_2.1.4,LATIN,Chris  Dalglish,male,-0.42390368572004133,5.97638943024279,0.7119518428600207
Christine  Lutz,namsor_api_2.1.4,LATIN,Christine  Lutz,female,0.5379972895749623,7.353663020662225,0.7689986447874811
Ciro  Trotta,namsor_api_2.1.4,LATIN,Ciro  Trotta,male,-0.6648256897158649,8.158721837699005,0.8324128448579324
Constantin  Mihalcea,namsor_api_2.1.4,LATIN,Constantin  Mihalcea,male,-0.48326745676665883,6.863884350947615,0.7416337283833294
Courtney  Violette,namsor_api_2.1.4,LATIN,Courtney  Violette,female,0.3826196147062597,4.430632243325377,0.6913098073531299
Creech  Millie,namsor_api_2.1.4,LATIN,Creech  Millie,female,0.13021633472304273,1.3569247997994012,0.5651081673615214
D\'Andrea  Johnson,namsor_api_2.1.4,LATIN,D\'Andrea  Johnson,male,-0.09219228184434392,0.737638385136421,0.546096140922172
Dale  Kirby,namsor_api_2.1.4,LATIN,Dale  Kirby,male,-0.38154665820083755,4.167242521037608,0.6907733291004188
Danielle  Desilvis,namsor_api_2.1.4,LATIN,Danielle  Desilvis,female,0.4869196832454581,6.90420910806246,0.743459841622729
Dannyette  Gadsden-Rouse,namsor_api_2.1.4,LATIN,Dannyette  Gadsden-Rouse,female,0.23758314347304488,1.9991697321284931,0.6187915717365224
Darren  Elzie,namsor_api_2.1.4,LATIN,Darren  Elzie,male,-0.7383858073301586,8.609948049005624,0.8691929036650793
Darst  Lightsey,namsor_api_2.1.4,LATIN,Darst  Lightsey,male,-0.08693190793544625,0.5661753070620961,0.5434659539677231
Daryl  Ridgeway,namsor_api_2.1.4,LATIN,Daryl  Ridgeway,male,-0.38892761326324443,4.877634055922343,0.6944638066316222
Dawn  Parker,namsor_api_2.1.4,LATIN,Dawn  Parker,female,0.31996836253352967,2.6887915714238773,0.6599841812667648
Debbie  Davis,namsor_api_2.1.4,LATIN,Debbie  Davis,female,0.3802208295012608,3.7744568138447647,0.6901104147506304
Debbie  Lassiter,namsor_api_2.1.4,LATIN,Debbie  Lassiter,female,0.3813318608242,4.0926299967560595,0.6906659304121
Debra  Rowatt,namsor_api_2.1.4,LATIN,Debra  Rowatt,female,0.4014325803008487,5.330428199811749,0.7007162901504244
Dennis  Kostac,namsor_api_2.1.4,LATIN,Dennis  Kostac,male,-0.6960169968917727,8.32595203698827,0.8480084984458863
Diane  Hayden,namsor_api_2.1.4,LATIN,Diane  Hayden,female,0.42289024718898016,5.946328644939513,0.7114451235944901
Diane  Leblanc,namsor_api_2.1.4,LATIN,Diane  Leblanc,female,0.44909173023997107,6.449168155114577,0.7245458651199855
Don  Tisch,namsor_api_2.1.4,LATIN,Don  Tisch,male,-0.8068474674444792,9.444041127767306,0.9034237337222396
Don  Tisch,namsor_api_2.1.4,LATIN,Don  Tisch,male,-0.8068474674444792,9.444041127767306,0.9034237337222396
Douglas  Gordon,namsor_api_2.1.4,LATIN,Douglas  Gordon,male,-0.867535905004698,10.639027087296796,0.933767952502349
Douglas  Maynard,namsor_api_2.1.4,LATIN,Douglas  Maynard,male,-0.8318118007965816,10.247386354224219,0.9159059003982908
Dustin  Fife,namsor_api_2.1.4,LATIN,Dustin  Fife,male,-0.6656475350514461,8.162787813993816,0.8328237675257231
Ed  Parker,namsor_api_2.1.4,LATIN,Ed  Parker,male,-0.8257897393427105,10.194199386297733,0.9128948696713552
Edward  Sale,namsor_api_2.1.4,LATIN,Edward  Sale,male,-0.8717541355426228,10.697298975426747,0.9358770677713114
Elena  Fumi,namsor_api_2.1.4,LATIN,Elena  Fumi,female,0.7637742658171971,8.834560360079465,0.8818871329085985
Elena  Martignon,namsor_api_2.1.4,LATIN,Elena  Martignon,female,0.5874536320454389,7.708284364435968,0.7937268160227194
Elisabetta  Pirazzo,namsor_api_2.1.4,LATIN,Elisabetta  Pirazzo,female,0.6486891266618422,8.05234869777864,0.8243445633309211
Elliot  Katten,namsor_api_2.1.4,LATIN,Elliot  Katten,male,-0.38938660709545125,4.919315137345919,0.6946933035477256
Emily  Horsington,namsor_api_2.1.4,LATIN,Emily  Horsington,female,0.4777642962061197,6.806031984703139,0.7388821481030599
Eric  Born,namsor_api_2.1.4,LATIN,Eric  Born,male,-0.7898107833855081,9.149091391531385,0.8949053916927541
Erica  Tyler,namsor_api_2.1.4,LATIN,Erica  Tyler,female,0.4394477354169972,6.284942678901302,0.7197238677084986
Erin  O\'Neill,namsor_api_2.1.4,LATIN,Erin  O\'Neill,female,0.3627817561769664,3.4390987462290212,0.6813908780884832
Esther  Peralez,namsor_api_2.1.4,LATIN,Esther  Peralez,female,0.314601691451893,2.5633553567332683,0.6573008457259465
Estrella  Pereira,namsor_api_2.1.4,LATIN,Estrella  Pereira,female,0.729627999366407,8.544268812755064,0.8648139996832035
Fatma  Ajmi,namsor_api_2.1.4,LATIN,Fatma  Ajmi,female,0.49257541551377604,6.970044687626412,0.746287707756888
Federico  Luisetti,namsor_api_2.1.4,LATIN,Federico  Luisetti,male,-0.7014552690103986,8.358201551761255,0.8507276345051993
Felicia  Taylor,namsor_api_2.1.4,LATIN,Felicia  Taylor,female,0.5962118329567854,7.750817821815062,0.7981059164783927
Florence  Watson,namsor_api_2.1.4,LATIN,Florence  Watson,female,0.3906157520918452,5.04018178250594,0.6953078760459226
Frank  Zinc,namsor_api_2.1.4,LATIN,Frank  Zinc,male,-0.7078171476953492,8.397296790698618,0.8539085738476746
Franz  Rinkleff,namsor_api_2.1.4,LATIN,Franz  Rinkleff,male,-0.4819614432574584,6.849849497822916,0.7409807216287292
Gabriel  Diaz,namsor_api_2.1.4,LATIN,Gabriel  Diaz,male,-0.7440353555526718,8.654726062080186,0.8720176777763359
Garrick  Imatani,namsor_api_2.1.4,LATIN,Garrick  Imatani,male,-0.6579264386296002,8.11628978878931,0.8289632193148001
Gary  Levine,namsor_api_2.1.4,LATIN,Gary  Levine,male,-0.4377498708048624,6.258620067513235,0.7188749354024312
Gary  Marchant,namsor_api_2.1.4,LATIN,Gary  Marchant,male,-0.4496994828592804,6.460476069003718,0.7248497414296402
Gautam  Nivarthy,namsor_api_2.1.4,LATIN,Gautam  Nivarthy,male,-0.7359230229063198,8.591038433728983,0.8679615114531599
George  Thomas,namsor_api_2.1.4,LATIN,George  Thomas,male,-0.812434926774054,9.678881872663936,0.906217463387027
Gil  Pearson,namsor_api_2.1.4,LATIN,Gil  Pearson,male,-0.7263478715859717,8.520738523832492,0.8631739357929858
Goran  Nenadic,namsor_api_2.1.4,LATIN,Goran  Nenadic,male,-0.7833479094244293,9.061314189145406,0.8916739547122147
Grace  Chehoud,namsor_api_2.1.4,LATIN,Grace  Chehoud,female,0.3841625764230956,4.523244023356256,0.6920812882115478
Gregory  Martin,namsor_api_2.1.4,LATIN,Gregory  Martin,male,-0.7239578834197722,8.503935694686902,0.8619789417098861
Greta  Feeney,namsor_api_2.1.4,LATIN,Greta  Feeney,female,0.41519333310636686,5.743339493127493,0.7075966665531834
Gwynn  Markle,namsor_api_2.1.4,LATIN,Gwynn  Markle,female,0.3319193541534746,3.030801292843492,0.6659596770767373
Helene A  Bergman,namsor_api_2.1.4,LATIN,Helene A  Bergman,female,0.4450513414320627,6.377068317164621,0.7225256707160314
Henrik  Volckmer,namsor_api_2.1.4,LATIN,Henrik  Volckmer,male,-0.7373394843369423,8.601870517846756,0.8686697421684711
Henry  McDade,namsor_api_2.1.4,LATIN,Henry  McDade,male,-0.41022714204792066,5.631217346077449,0.7051135710239603
Holly  Reeves,namsor_api_2.1.4,LATIN,Holly  Reeves,female,0.38901082967039646,4.885064998715251,0.6945054148351982
Howard  Bullard,namsor_api_2.1.4,LATIN,Howard  Bullard,male,-0.8161949623155564,9.875052153640368,0.9080974811577782
Howard  Cabot,namsor_api_2.1.4,LATIN,Howard  Cabot,male,-0.8575999339023193,10.513861180436535,0.9287999669511596
IJ  Singh,namsor_api_2.1.4,LATIN,IJ  Singh,male,-0.17155233414807713,1.5971395632426493,0.5857761670740386
Jack  Chen,namsor_api_2.1.4,LATIN,Jack  Chen,male,-0.90586199800688,11.36121536704961,0.95293099900344
Jack  Yarnell,namsor_api_2.1.4,LATIN,Jack  Yarnell,male,-0.8750505615850266,10.745324595918234,0.9375252807925133
Jamal  Watson,namsor_api_2.1.4,LATIN,Jamal  Watson,male,-0.8409439024623078,10.333857442434649,0.9204719512311539
James  Todaro,namsor_api_2.1.4,LATIN,James  Todaro,male,-0.9049044286359003,11.335102377818117,0.9524522143179501
Janice  Austin,namsor_api_2.1.4,LATIN,Janice  Austin,female,0.39871659676379356,5.251414453312947,0.6993582983818968
Janice  Holm,namsor_api_2.1.4,LATIN,Janice  Holm,female,0.4267393912710338,6.065619792394244,0.7133696956355169
Jason  Frederickson,namsor_api_2.1.4,LATIN,Jason  Frederickson,male,-0.8138770247581901,9.74964596587381,0.9069385123790951
Jason  Johnson,namsor_api_2.1.4,LATIN,Jason  Johnson,male,-0.8662666943917778,10.622138295249826,0.9331333471958889
Jason  Mullin,namsor_api_2.1.4,LATIN,Jason  Mullin,male,-0.8263893732496719,10.199370345966301,0.9131946866248359
Jean  Brouard,namsor_api_2.1.4,LATIN,Jean  Brouard,male,-0.07266897386438065,0.13308834328852034,0.5363344869321903
Jean-Pierre  Dussault,namsor_api_2.1.4,LATIN,Jean-Pierre  Dussault,male,-0.4841746967581335,6.873750858411583,0.7420873483790668
Jeff  Larson,namsor_api_2.1.4,LATIN,Jeff  Larson,male,-0.9312174428091331,12.567009548037149,0.9656087214045666
Jeff  Rebholz,namsor_api_2.1.4,LATIN,Jeff  Rebholz,male,-0.9147655596683051,11.64357552313939,0.9573827798341525
Jennifer  Barnes,namsor_api_2.1.4,LATIN,Jennifer  Barnes,female,0.22606642392063891,1.9399779623302038,0.6130332119603195
Jennifer  McDowell,namsor_api_2.1.4,LATIN,Jennifer  McDowell,female,0.3119739838787574,2.5065437728716518,0.6559869919393787
Jeremy  Dehn,namsor_api_2.1.4,LATIN,Jeremy  Dehn,male,-0.4512286271478163,6.48950446151548,0.7256143135739082
Jeremy  Hill,namsor_api_2.1.4,LATIN,Jeremy  Hill,male,-0.47239879635294435,6.752670045072136,0.7361993981764722
Jeremy  Ong,namsor_api_2.1.4,LATIN,Jeremy  Ong,male,-0.4220467684697684,5.921976981992387,0.7110233842348842
Jessica  Chambers,namsor_api_2.1.4,LATIN,Jessica  Chambers,female,0.3894165081297678,4.922090760789359,0.6947082540648839
Jill  Biondo,namsor_api_2.1.4,LATIN,Jill  Biondo,female,0.33149399805304514,3.0166467505080448,0.6657469990265226
Jo Anne  Ollerenshaw,namsor_api_2.1.4,LATIN,Jo Anne  Ollerenshaw,female,0.4521920245074451,6.508234029146948,0.7260960122537226
Jodie  Mack,namsor_api_2.1.4,LATIN,Jodie  Mack,female,0.2434991239217359,2.0306426152013017,0.621749561960868
Joe  Losby,namsor_api_2.1.4,LATIN,Joe  Losby,male,-0.7997531778324063,9.30123550703891,0.8998765889162031
Joe  Trainor,namsor_api_2.1.4,LATIN,Joe  Trainor,male,-0.7962861653004885,9.245514873815239,0.8981430826502442
Joe  Woodall,namsor_api_2.1.4,LATIN,Joe  Woodall,male,-0.7762924708152492,8.97353968873378,0.8881462354076246
John  Doe,namsor_api_2.1.4,LATIN,John  Doe,male,-0.9243516482375238,12.076305371259082,0.9621758241187619
John  Grein,namsor_api_2.1.4,LATIN,John  Grein,male,-0.9234640640997829,12.027387520238037,0.9617320320498914
